 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
       229       8.21462       2.94288       0.02007       0.04743       0.05000 
       230       8.16381       2.87024       0.01988       0.04746       0.05000 
       231       8.11483       2.79561       0.01966       0.04748       0.05000 
       232       8.06771       2.71943       0.01943       0.04751       0.05000 
       233       8.02249       2.64207       0.01918       0.04754       0.05000 
       234       7.97917       2.56343       0.01891       0.04756       0.05000 
       235       7.93778       2.48405       0.01863       0.04759       0.05000 
       236       7.89830       2.40491       0.01833       0.04761       0.05000 
       237       7.86072       2.32652       0.01803       0.04763       0.05000 
       238       7.82502       2.24930       0.01771       0.04766       0.05000 
       239       7.79115       2.17392       0.01739       0.04768       0.05000 
       240       7.75908       2.10064       0.01706       0.04771       0.05000 
       241       7.72874       2.02955       0.01672       0.04773       0.05000 
       242       7.70009       1.96133       0.01638       0.04775       0.05000 
       243       7.67306       1.89643       0.01604       0.04778       0.05000 
       244       7.64756       1.83472       0.01570       0.04780       0.05000 
       245       7.62354       1.77630       0.01537       0.04782       0.05000 
       246       7.60091       1.72146       0.01503       0.04784       0.05000 
       247       7.57960       1.67021       0.01469       0.04787       0.05000 
       248       7.55953       1.62284       0.01436       0.04789       0.05000 
       249       7.54061       1.57954       0.01403       0.04791       0.05000 
       250       7.52278       1.54002       0.01371       0.04793       0.05000 
